species,T_K,alpha_KMC,alpha_phenom,diff_pct,R2,n_points
Arsenic,1173.15,2.5680421572558245,2.3,11.65400683720977,0.9998738641242351,17
Arsenic,1273.15,2.401951054652212,2.3,4.432654550096183,0.9999999939234343,17
Arsenic,1373.15,2.2330657711322663,2.3,-2.9101838638144994,0.9999999929682589,17
Boron,1173.15,-3.1521469400924658,-3.0,-5.071564669748859,0.9999999964707651,17
Boron,1273.15,-2.89804895771434,-3.0,3.398368076188666,0.9999999958303288,17
Boron,1373.15,-2.6809603025467026,-3.0,10.63465658177658,0.9999999951214189,17
Phosphorus,1173.15,0.8632432362440869,0.7,23.320462320583857,0.9999999529762333,17
Phosphorus,1273.15,0.8019513650256629,0.7,14.564480717951847,0.9999999454116684,17
Phosphorus,1373.15,0.7495861755498702,0.7,7.083739364267175,0.999999937585185,17
